dv42_TrackType,dv36_TrackType,dv42_BDT,dv36_BDT,dv42_totCandidates,dv36_totCandidates,dv42_Y_P,dv36_Y_P,dv42_Y_PT,dv36_Y_PT,dv42_Y_ENDVERTEX_X,dv36_Y_ENDVERTEX_X,dv42_Y_ENDVERTEX_Z,dv36_Y_ENDVERTEX_Z
1.0,1.0,0.14247658848762512,-0.25469735264778137,1.0,1.0,110802.9400462767,110804.16939919764,13743.157828445223,13743.375850169561,1.2686737561766677,1.2685603234626655,93.98205048110822,93.98098947924836
3.0,3.0,0.36504581570625305,0.18067410588264465,1.0,1.0,98137.30576376358,98139.42896607266,6788.859134251143,6789.38299809849,-1.7023857295293177,-1.7015059558081322,34.293424524486994,34.27983323087827
3.0,3.0,-0.5027773380279541,-0.3598838746547699,1.0,1.0,238780.11341237687,238786.40322216426,12771.6631647715,12771.950185713255,3.3553456832104445,3.355347946539908,203.07791459717168,203.07781071548584
1.0,1.0,0.005444168113172054,-0.2213011234998703,1.0,1.0,66130.73948927147,66131.73182609257,12380.16844931676,12380.750319141838,1.160604147323406,1.1603985182108048,15.425086245014342,15.4277309887039
1.0,1.0,-0.49046632647514343,-0.7502015233039856,1.0,1.0,52267.126649083795,52267.526835220735,8209.016793660068,8209.07394948023,1.3011053314953642,1.300853969395007,47.58777081067592,47.58631495894588
1.0,1.0,-0.5654243230819702,-0.33257341384887695,1.0,1.0,91289.21842589832,91289.96119336746,10373.744241912034,10374.035009186258,1.2908779513314812,1.290681745358711,79.48458303527059,79.48376014809492
3.0,3.0,0.1827952265739441,0.3044467270374298,1.0,1.0,78675.9570214745,78676.86457893897,3761.7612487521765,3762.0024942295795,0.765049035632007,0.76509928667683,112.7156290992279,112.71845021338237
1.0,1.0,0.23559503257274628,0.42677009105682373,1.0,1.0,82698.25628586247,82699.32403527491,4194.518328809957,4194.426328633143,0.8632841394483393,0.8615761356396447,6.044430925461938,5.998686842766801
1.0,1.0,0.06089247018098831,-0.2964499294757843,1.0,1.0,51334.51991058771,51336.0383353196,8380.24062760461,8380.640494954727,0.07924932174955757,0.07999138546028917,128.6396549050587,128.6368782978243
1.0,1.0,0.08132794499397278,-0.10751431435346603,1.0,1.0,290709.85344076087,290715.09795146354,8446.98868769219,8445.952000498095,2.2252189614938516,2.218113135483918,40.25732293582587,40.0350926106039
1.0,1.0,-0.12420759350061417,-0.46236297488212585,1.0,1.0,46934.877940030434,46934.985462052966,8466.218049349096,8466.236743479702,0.3376486747447416,0.3376761176209584,59.33557027650022,59.335372087436554
3.0,3.0,-0.3855665922164917,-0.507218062877655,1.0,1.0,106221.94428332378,106222.90809344179,6600.662196218712,6600.713411257207,1.8244184307171167,1.8281637234813246,30.225004039112264,30.28670685979023
3.0,3.0,-0.3184056282043457,-0.44005709886550903,1.0,1.0,74288.27195047247,74288.32418586011,5183.049864587736,5183.012731384247,0.1960984350319066,0.19607987621836287,69.67129256294402,69.67167159707964
1.0,1.0,-0.0611979179084301,-0.45224741101264954,1.0,1.0,168458.85354632098,168459.0138460349,15068.301417873941,15068.329557934476,0.05515769769419876,0.055065306835331285,40.64360198953,40.644744761793845
1.0,1.0,-0.009153722785413265,-0.14009641110897064,1.0,1.0,102103.03891139079,102103.62285416666,12210.86684787891,12210.926887300482,1.1240749892787818,1.1240489334137038,-10.243166016786859,-10.243454110121547
3.0,3.0,0.16562393307685852,-0.14969046413898468,1.0,1.0,144063.44133917778,144064.43507778083,13029.869043167942,13029.944661628702,-0.30197129779267584,-0.3019770988177015,112.11699081276038,112.11689420178254
1.0,1.0,-0.020233113318681717,-0.39983585476875305,1.0,1.0,51334.51991058771,51336.0383353196,8380.24062760461,8380.640494954727,0.07924932174955757,0.07999138546028917,128.6396549050587,128.6368782978243
3.0,3.0,-0.7526472210884094,-0.6097537875175476,1.0,1.0,161789.1459365992,161793.44122018962,4867.223084008599,4867.914994345471,2.0465997069367283,2.0444559200708987,145.95962567603283,145.80914499125765
3.0,3.0,0.05185253918170929,0.3256886601448059,1.0,1.0,62464.56925179473,62465.12392670985,4295.318731285292,4295.42398690109,1.004497337101128,1.0044970892976863,39.28485563539874,39.28277038072798
1.0,1.0,-0.037072304636240005,0.07468735426664352,1.0,1.0,118650.24903016027,118651.20606710292,7067.275244165964,7067.376256230346,0.9676494726899705,0.9675592977428664,-59.01815131049534,-59.022574657108635
1.0,1.0,-0.1486564427614212,-0.35561320185661316,1.0,1.0,207027.41699503234,207027.8981002446,8341.352509012722,8341.334849589539,0.34198732031019574,0.3420037113741614,150.35064111442443,150.35549381577766
